Round,Hand,Punch,Side,Location
2,Left,Hook,Right,Temple
1,Left,Hook,Right,Body
9,Left,Hook,Right,Body
2,Left,Hook,Right,Body
2,Right,Hook,Left,Body
7,Right,Hook,Left,Chin
8,Right,Hook,Left,Chin
2,Right,Cross,Right,Forehead
6,Right,Cross,Left,Chin
12,Right,Uppercut,Left,Nose/Face
7,Left,Hook,Right,Body
2,Right,Hook,Left,Temple
5,Right,Cross,Right,Jaw
2,Right,Uppercut,Left,Chin
5,Right,Uppercut,Left,Chin
4,Left,Hook,Right,Chin
2,Left,Uppercut,Right,Chin
10,Left,Uppercut,Left,Chin
4,Right,Hook,Left,Body
1,Right,Cross,Left,Nose/Face
4,Left,Cross,Left,Cheek
4,Right,Cross,Left,Chin
5,Left,Hook,Right,Body
6,Right,Hook,Left,Temple
4,Right,Cross,Left,Chin
2,Right,Cross,Left,Chin
6,Right,Hook,Left,Body
1,Right,Hook,Left,Cheek
10,Right,Cross,Right,Temple
11,Right,Cross,Left,Cheek
4,Left,Hook,Right,Body
8,Right,Cross,Left,Cheek
1,Left,Cross,Left,Chin
3,Left,Hook,Right,Body
3,Right,Cross,Left,Cheek
3,Right,Hook,Left,Cheek
2,Right,Hook,Left,Cheek
2,Left,Hook,Right,Chin
6,Right,Hook,Left,Cheek
7,Left,Uppercut,Right,Body
1,Left,Cross,Right,Jaw
3,Right,Hook,Left,Chin
5,Left,Hook,Right,Body
8,Left,Hook,Right,Body
3,Right,Hook,Left,Cheek
3,Right,Hook,Left,Chin
2,Left,Hook,Right,Cheek
3,Right,Cross,Left,Cheek
3,Left,Uppercut,Right,Chin
3,Right,Hook,Left,Cheek